name	kind	country

15747	Invalid	LI
15985	Person	UNKNOWN
16005	Invalid	LI
16006	Person	LI
16025	Person	UNKNOWN

OOO AZOVELEKTROSBIT	Company	UA
OOO CHARSKIY PIR	Company	UNKNOWN
OOO DOZA AQRO	Company	RU
OOO DREES + SOMMER	Company	RU
	000 DREES + SOMMER	Company	RU
OOO DZERZHINSKKROVLIA	Company	RU
OOO EVEREST	Company	RU
OOO FELIKS	Company	RU
OOO GALEN	Company	RU
OOO GEOWATT	Company	KZ
OOO GREIN-EXCPORT	Company	UA
OOO HAYAT	Company	RU
OOO INTERPAYP UKRAINA	Company	UA
OOO KOMPANIYA TORGTRANSSERVIS	Company	RU
OOO MAYAKPRINT	Company	RU
OOO MEDEO FARM	Company	RU
OOO METINVEST-UKRAINE	Company	UA
OOO NOVIY AGRO-EKSPORT	Company	RU
OOO PAPIRLEND PLYUS	Company	UA
OOO PREDPRIATIE PRODUKTOV PITANIA	Company	RU
OOO PRODOS	Company	RU
OOO PTF EKMI	Company	UA
OOO QAZKOMPLEKTSERVIS-K	Company	UNKNOWN
OOO REYLSPECH TRANS	Company	RU
OOO ROSSKAT-CENTER	Company	RU
OOO SAM IMPEX	Company	UNKNOWN
OOO TD FERROSPLAV STANDART	Company	RU
OOO TEGOLA RUFING PRODAKTS	Company	RU
OOO TORGOVAYA KOMPANIYA ART	Company	RU
OOO TORGOVIY DOM SVITAL	Company	RU
OOO TORQOVIY DOM MOSKOVSKIE OBOY	Company	RU
OOO TOSHIBA SI-AY-ES	Company	RU
OOO TRADICHII KACHESTVA	Company	RU
OOO UKRDORS	Company	UA
OOO ZAVOD SPECHXIMPRODUKT	Company	RU

3B SCIENTIFIC EUROPE KFT	Company	HU
3M EAST	Company	CH
	3M (EAST) AG	Company	CH
	3M EAST AG	Company	CH
3S MADENCILIK SERAMIK INSAAT	Company	TR
	3S MADENCILIK SERAMIK INSAAT NAKLI	Company	TR
5T YAPI IC VE DIS TIC.LTD.STI.	Company	TR
92408434QUEBEC INS	Company	CA
A DUE DI SQUERI DONATO + C.S.P.A.	Company	IT
A. N. ROHE HOLDING LTD.	Company	LV
A.FUAD NAKLIYAT INS.CIMENTO SAN.TIC	Company	TR
A.G. DIAMOND DIRECT LTD.	Company	IN
A.S.D. LENTIGIONE CALCIO	Company	IT
	A.S.D.LENTIGIONE CALCIO	Company	IT
A.S.T.DIAMONDS LTD	Company	IL
A/S ECCO SKO	Company	PA
A2 DI DAVIDE AGRATI + C. SNC	Company	IT
AAA Aussenhandel Altay e.K.	Company	DE
AAA WRISLIT UAB	Company	LT
AAT HOLDING SP. Z O.O.	Company	PL
	AAT HOLDING SP.O.O.	Company	PL
AB STUMBRAS	Company	LT
ABC CONSTRUCTION MATERIALS AND	Company	UNKNOWN
ABC KERAMIK BERENTELG GMBH&CO.,KG	Company	DE
ABDULKADIR BIRINCI	Person	TR
ABDULLAYEV KAMRAN	Person	UNKNOWN
ACA CRANES GMBH	Company	DE
ACAR KIMYA VE TEKSTIL SAN.TIC.LTD.	Company	TR
ACCESSORIES AGENCY LTD.	Company	HK
ACER CIS INCORPORATED	Company	RU
ACG MIMARLIK	Company	TR
ACIKGOZ IPLIK VE HALI SAN.TIC.LTD.	Company	TR
ACMISGROUP	Company	BE
ACT FLOOREKS YAPI INS. LTD. STI	Company	TR
ACTIVE KIMYA SANAYI VE TICARET A.S.	Company	TR
ADALETS SIHALIJEVS	Person	LV
ADATA TECHNOLOGY CO LTD	Company	US
ADEL CORP	Company	US
ADITYA BIRLA CHEMICALS (INDIA)	Company	BE
ADM KUYUMCULUK ELEKTRONIK GIDA	Company	TR
ADOPEN PLASTIK VE INS. SAN. AS.	Company	TR
	ADOPEN PLASTIK VE INSAAT SAN.A.S	Company	TR
ADVANCED TECHNOLOGIES CENTER	Company	PL
ADVANTECH CO.,LTD	Company	TW
ADVAUS TEKNIK AB	Company	SE
AEOLUS TYRE CO.,LTD.	Company	HK
AEVOE INTERNATIONAL LTD	Company	VG
AF COMPRESSORS MIDDLE EAST FZE	Company	AE
AFCONA ADDITIVES SDN BHD	Company	MY
AFLOFARM FARMACJA POLSKA SP.Z O.O.	Company	PL
AGAEV ELCHIN	Person	UNKNOWN
AGAKIM KIMYA SAN VE TIC.A.S	Company	TR
	AGAKIM KIMYA SAN.VE TIC.A.S.	Company	TR
AGCOMPANY OÜ	Company	FI
AGE TEKSTIL MOBILYA DEK.TUR.INS.	Company	TR
AGIL BAYRAMOV	Person	AZ
AGIL SHIKHALIYEV	Person	AZ
AGO LIMITED	Company	UNKNOWN
AGON SAHATCIU	Person	CZ
AGRI NOVA SCIENCE, S.A.	Company	ES
AGRIONAL DIS TIC.LTD.STI.	Company	TR
AGRO NORTH EUROPE B.V.	Company	NL
AGRO SEVILLA ACEITUNAS S.C.A.	Company	ES
AGRO WEST LLC	Company	AZ
AGRO-TECHNIC LLC	Company	US
AGRUPACION GUERRERO S.L	Company	ES
AHI CARRIER FZC	Company	AE
AHMED YASADI	Person	TR
AHMET BOGAZ	Person	TR
AHMET DURAK	Person	TR
AHMET ILOGLU	Person	TR
AHMET ORGUN	Person	TR
AIMREACH ENTERPRISES CO., LTD	Company	TW
AIR TRADE CENTRE	Company	BG
AISG,INC.	Company	UNKNOWN
AK-47 S.R.L.	Company	RO
AK-TAS DIS TICARET A.S	Company	TR
AKAY INDUSTRIES PVT LTD	Company	IN
AKCELIK BORU SANAYI A.S	Company	TR
	AKCELIK BORU SANAYI A.S.	Company	TR
AKDENIZ KIMYASAL URUNLER PAZARLAMA	Company	TR
