AG GLOBAL LOGISTIC LTD.	Company	GB
ALDERA PLUS LTD	Company	GB
ATROPATENA LTD	Company	GB
AZERBAIJAN INTERNATIONAL OPERATING	Company	GB
BALLY SUNGLASS+OPTICAL COMPANY LTD.	Company	GB
BELLERBYS EDUCATION SERVICES UK LTD	Company	GB
BENIHANNA LIMITED	Company	GB
BERGLADE HOLDINGS LIMITED	Company	GB
BILOXI GLOBAL INC.	Company	GB
BONDWEST LLP	Company	GB
BONINVEST LLP	Company	GB
BRITISH STUDY CENTRES	Company	GB
CALOREX HEAT PUMPS LIMITED	Company	GB
CARGOSTAR LLP	Company	GB
CASA LONDRA LTD	Company	GB
CLYDY LTD	Company	GB
CMGRP UK LIMITED	Company	GB
COOPERS FIRE LTD	Company	GB
DAVID KOMA LTD	Company	GB
DIGIPOS STORE SOLUTIONS INTERNATION	Company	GB
EXPA UK LTD	Company	GB
FABERLEX LP	Company	GB
FOXTONS LTD	Company	GB
FREEWAY IMPORT LTD	Company	GB
GAELIC INT L HOLDINGS LTD.	Company	GB
GENTLEMENS TONIC LTD	Company	GB
GLOBETOWN LLP	Company	GB
HFS INT.LTD	Company	GB
HFS LIMITED	Company	GB
HILUX SERVICES LP	Company	GB
INTERNATIONAL COMMUNITY SCHOOL ICS	Company	GB
IRS GROUP LLC	Company	GB
ITAR LTD	Company	GB
JLS PRODUCTS LLP	Company	GB
KG COMMERCE LLP	Company	GB
LOGILUX LLP	Company	GB
LTD ROTACK	Company	GB
LTD ROTRACK	Company	GB
LUMENA TRADE LP	Company	GB
MARCOS TRADING LTD.	Company	GB
MOBILA LLP	Company	GB
NORTHBURG LIMITED	Company	GB
P QUEEN CONSULTANCY COMPANY	Company	GB
PAKARD LP	Company	GB
PAKART LP	Company	GB
PANGAEA LABORATORIES LTD	Company	GB
PEDERSEN AND PARTNERS INTERNATIONAL	Company	GB
PEERMAN INVESTMENTS LIMITED PREMIER	Company	GB
PENSUM LTD	Company	GB
POLAR FURS LTD	Company	GB
QUALITY CONTROL FOR MOLECULAR	Company	GB
QUEEN ETHELBURGA S COLLEGE	Company	GB
REBIS NOSTRUM, LTD.	Company	GB
RED BUSINESS INFORMATION LTD	Company	GB
REK VALVES LTD	Company	GB
RETAIL TRADING LTD	Company	GB
ROTRACK LTD	Company	GB
ROWAN TRADE LTD	Company	GB
SEA SOTRA (LONDON)LTD	Company	GB
SEABON LIMITED	Company	GB
SECURO LIMITED	Company	GB
SHIPPING AGENCY LTD	Company	GB
SIZEROY LTD	Company	GB
SMITH AND FELLOWS LTD	Company	GB
SONIFEX LTD	Company	GB
TDC SYSTEMS LIMITED	Company	GB
TURNOCK LTD	Company	GB
UKCAN LTD	Company	GB
ULTRA CORPORATION LLP	Company	GB
VELLA TEX INC	Company	GB
WEST SPORT ALLIANCE LLP	Company	GB
